order_id,categoria_produto,tipo_pagamento,valor_pagamento,preco_produto,nota_avaliacao,data_compra,estado_cliente,mes
53cdb2fc8bc7dce0b6741e2150273451,perfumaria,Boleto,141.46,118.7,4.0,2018-07-24 20:41:37,BA,2018-07
dcb36b511fcac050b97cd5c05de84dc3,perfumaria,Cartão de crédito,146.45,132.4,5.0,2018-06-07 19:03:12,GO,2018-06
f3e7c359154d965827355f39d6b1fdac,papelaria,Boleto,104.11,89.9,5.0,2018-08-09 11:44:40,SP,2018-08
acce194856392f074dbf9dada14d8d82,bebes,Cartão de crédito,227.68,90.9,1.0,2018-06-04 00:00:13,BA,2018-06
acce194856392f074dbf9dada14d8d82,bebes,Cartão de crédito,227.68,39.5,1.0,2018-06-04 00:00:13,BA,2018-06
1790eea0b567cf50911c057cf20f90f9,climatizacao,Cartão de crédito,224.9,186.9,1.0,2018-04-16 21:15:39,PE,2018-04
434d158e96bdd6972ad6e6d73ddcfd22,beleza_saude,Boleto,508.17,445.0,5.0,2018-06-01 12:23:13,PE,2018-06
5820a1100976432c7968a52da59e9364,esporte_lazer,Cartão de crédito,52.24,33.9,5.0,2018-07-29 11:24:17,RS,2018-07
9faeb9b2746b9d7526aef5acb08e2aa0,esporte_lazer,Cartão de crédito,151.04,60.0,1.0,2018-07-26 14:39:59,RS,2018-07
9faeb9b2746b9d7526aef5acb08e2aa0,esporte_lazer,Cartão de crédito,151.04,60.0,1.0,2018-07-26 14:39:59,RS,2018-07
40c5e18f7d112b59b3e5113a59a905b3,perfumaria,Cartão de crédito,128.68,119.9,5.0,2018-06-11 10:25:52,RJ,2018-06
688052146432ef8253587b930b01a06d,informatica_acessorios,Cartão de crédito,346.09,119.0,4.0,2018-04-22 08:48:13,MG,2018-04
688052146432ef8253587b930b01a06d,malas_acessorios,Cartão de crédito,346.09,199.0,4.0,2018-04-22 08:48:13,MG,2018-04
fdf128b3630c21adc9ca4fb8a51b68ec,alimentos,Cartão de Debito,46.2,27.9,3.0,2018-07-15 08:33:19,SC,2018-07
0e782c3705510e717d28907746cbda82,telefonia,Cartão de crédito,37.38,29.99,4.0,2018-05-01 08:12:37,SP,2018-05
86f21bf63784876b9fd6d35f46581d72,informatica_acessorios,Cartão de crédito,120.84,98.44,1.0,2018-04-11 22:32:31,MG,2018-04
f169bd689fb8b32ccd62df9050aebc0b,telefonia,Cartão de crédito,772.08,759.0,5.0,2018-04-22 23:23:18,SP,2018-04
41bb5cee06dbf170878a9ef93ac7e7f5,moveis_decoracao,Cartão de crédito,23.69,10.9,5.0,2018-05-14 08:35:33,SP,2018-05
e3447938231fb6ba2fee0231b51eca59,utilidades_domesticas,Cartão de crédito,172.14,160.0,5.0,2018-08-26 11:04:26,SP,2018-08
a5474c0071dd5d1074e12d417078bbd0,beleza_saude,Boleto,21.38,13.99,5.0,2018-07-30 22:41:44,SP,2018-07
80d817467dc3d0a4bb5ab8986c962b1f,papelaria,Cartão de crédito,132.88,49.9,5.0,2018-08-22 16:10:29,DF,2018-08
80d817467dc3d0a4bb5ab8986c962b1f,papelaria,Cartão de crédito,132.88,49.9,5.0,2018-08-22 16:10:29,DF,2018-08
c75acba615d2db29345327974641467d,beleza_saude,Cartão de crédito,111.89,84.99,5.0,2018-07-06 23:36:15,RJ,2018-07
210e60465099814a1d2c7635e4065153,cool_stuff,Cartão de crédito,231.79,199.0,4.0,2018-05-09 18:27:00,RJ,2018-05
0c6b011f8a4f87010c23995f5807d152,relogios_presentes,Cartão de crédito,66.02,43.0,5.0,2018-08-20 18:24:30,RN,2018-08
5164933efe0cd14f31424b9badf81f19,cama_mesa_banho,Cartão de crédito,141.9,129.9,1.0,2018-04-25 22:18:10,SP,2018-04
f4471dae8c482f51aa1826cd9f5d4433,esporte_lazer,Cartão de crédito,232.14,104.9,1.0,2018-07-05 18:40:47,SP,2018-07
f4471dae8c482f51aa1826cd9f5d4433,beleza_saude,Cartão de crédito,232.14,110.32,1.0,2018-07-05 18:40:47,SP,2018-07
33a3edb84b9df4cb49546859b990ac6d,ferramentas_jardim,Cartão de Debito,67.5,49.9,1.0,2018-02-21 17:15:49,MG,2018-02
90349f264a3d6a2525a34598d09dda6b,construcao_ferramentas_iluminacao,Boleto,314.34,45.0,5.0,2018-05-11 16:35:19,SP,2018-05
90349f264a3d6a2525a34598d09dda6b,construcao_ferramentas_iluminacao,Boleto,314.34,45.0,5.0,2018-05-11 16:35:19,SP,2018-05
90349f264a3d6a2525a34598d09dda6b,construcao_ferramentas_iluminacao,Boleto,314.34,45.0,5.0,2018-05-11 16:35:19,SP,2018-05
90349f264a3d6a2525a34598d09dda6b,construcao_ferramentas_iluminacao,Boleto,314.34,45.0,5.0,2018-05-11 16:35:19,SP,2018-05
90349f264a3d6a2525a34598d09dda6b,construcao_ferramentas_iluminacao,Boleto,314.34,45.0,5.0,2018-05-11 16:35:19,SP,2018-05
90349f264a3d6a2525a34598d09dda6b,construcao_ferramentas_iluminacao,Boleto,314.34,45.0,5.0,2018-05-11 16:35:19,SP,2018-05
cefa8ee1540139ac77fa0c1b4ff1f04b,alimentos,Cartão de crédito,86.05,66.39,5.0,2018-07-02 12:54:20,PR,2018-07
e69e2290db6b2d3b7593a40112e1a82a,livros_tecnicos,Boleto,126.67,28.0,5.0,2018-06-01 11:26:06,SP,2018-06
e69e2290db6b2d3b7593a40112e1a82a,construcao_ferramentas_jardim,Boleto,126.67,47.99,5.0,2018-06-01 11:26:06,SP,2018-06
663830a477534735bbdec9de01113fa2,eletronicos,Cartão de crédito,38.41,24.9,5.0,2018-07-15 12:37:12,SP,2018-07
b0928556a10706af462ca2ab2c91903b,informatica_acessorios,Cartão de crédito,106.73,83.0,5.0,2018-08-03 22:23:06,MG,2018-08
1e8c81805b92ff169971231458670460,beleza_saude,Cartão de crédito,257.94,110.32,1.0,2018-05-04 10:29:14,SC,2018-05
1e8c81805b92ff169971231458670460,beleza_saude,Cartão de crédito,257.94,110.32,1.0,2018-05-04 10:29:14,SC,2018-05
434d3eec8dd031c322077fb2452e53a0,papelaria,Cartão de crédito,76.29,68.0,5.0,2018-05-08 14:38:14,SP,2018-05
3ef7c7b43ae449415675a6c34720b78e,automotivo,Boleto,403.32,383.5,4.0,2018-06-16 19:05:54,SP,2018-06
d86359a45e3f6c6d8b35f7b13e41abf5,relogios_presentes,Cartão de crédito,124.7,105.0,5.0,2018-06-06 14:21:47,SP,2018-06
f419e615bbdeb34741d4bdd661ff8599,moveis_cozinha_area_de_servico_jantar_e_jardim,Cartão de crédito,75.1,56.9,5.0,2018-08-08 10:49:59,RS,2018-08
